順序ID,ページ数,テキスト内容,備考,
001,1,MS&AD,ロゴのため文字認識なし,←pdf内でコピーできない文字のことです
002,1,三井住友海上,ロゴのため文字認識なし,
003,1,令和5年度 保存版,,
004,1,MS&ADインシュアランスグループ,,
005,1,役員・従業員(スタッフ社員含む)の皆さまへ,,
006,1,団体保険制度,文字認識なし,
007,1,【団体総合生活補償保険(MS&AD型)、GLTD、所得補償保険】,,
008,1,入社,,
009,1,結婚,,
010,1,出産,,
011,1,住宅,改行がある場合は分ける,
012,1,購入,,
013,1,子供,,
014,1,独立,,
015,1,退職,,
016,1,退職後,,
017,1,も継続,,
018,1,あなたの人生に,,
019,1,寄りそう保険,,
020,1,団体総合生活補償保険,斜め文字は改行とみなさない,
021,1,最大,,
022,1,40.15%,,
023,1,割引!!,,
024,1,簡単! 便利!,,
025,1,WEBで,,
026,1,保険金請求が,,
027,1,できます!,,
028,1,P34または裏表紙を,,
029,1,ご覧ください。,,
030,1,申込締切日,,
031,1,令和5年10月25日(水),,
032,1,保険期間,,
033,1,令和5年12月10日午後4時~令和6年12月10日午後4時,,
034,1,払込方法,,
035,1,令和6年2月分給与より控除開始(12回払),,
036,1,かんたん!便利!,,
037,1,お手続方法,,
038,1,MS1のほか、ご自宅のPC、スマートフォンでもお手続き可能です。,,
039,1,お手続き可能期間:【10月3日(火)~10月25日(水)】,,
040,1,MS1を閲覧できる方/ご自宅のPCまたはスマートフォンでお手続き可能な方,,
041,1,<MS1でのお手続き>,,
042,1,「MSK保険センター」のホームページまたは10月2日(月)の人事部発信の業務連絡からお手続きください。,,
043,1,※ネット手続き時間は、平日(月曜~金曜)の7:00 ~19:00です。,,
044,1,<ご自宅等のPCまたはスマートフォンでのお手続き>,,
045,1,利用時間 7:00 ~ 26:30,,
046,1,■ご自宅のPCでのお手続き,,
047,1,以下のURLからお手続きください。,,
048,1,https://dantai.ms-ins.com/index.php?ID=eyhe84,,
049,1,【推奨環境】OS:Windows 10/11、Mac 10.15,,
050,1,ブラウザ:Microsoft Edge、,,
051,1,Google Chrome、Safari,,
052,1,■スマートフォンでのお手続き,,
053,1,右記のQRコード(※)を読み取り、お手続きください。,,
054,1,【推奨環境】OS:iOS 11/12/13/14/15/16、,,
055,1,Android 5.1/6.0/7.0/8.0/9.0/11.0/12.0/13.0,,
056,1,ブラウザ:Safari、Google Chrome,,
057,1,(※)「QRコード」は株式会社デンソーウェーブの登録商標です。,,
058,1,MS1を閲覧できない、かつご自宅にインターネット環境がない方,,
059,1,加入申込票をMSK保険センターHPから印刷、もしくは裏表紙の保険センターの拠点へご請求のうえ、締切日までにご提出ください。,,
060,1,! 年令により保険料が変更になっておりますので、今年度の補償内容・保険料を必ずご確認ください。,,
061,1,本契約は自動継続のため、前年から加入されている方につきましては、お申し出がない場合、前年ご加入内容に応じたセット・口数でのご継続となります。,,
062,1,代理店・扱者 MSK保険センター株式会社,,
063,1,MS&AD,ロゴのため文字認識なし,
064,1,MS&ADインシュアランスグループ ホールディングス株式会社,ロゴのため文字認識なし,
065,２,団体保険制度,,
066,２,は、MS&ADインシュアランスグループの福利厚生です。,,
067,２,MS&ADインシュアランスグループ団体保険制度は、 スケールメリットを活かした福利厚生制度です。,,
068,２,ご加入や保険料のお支払いなどの手続きも、簡単・便利です。,,
069,２,団体保険ならではのメリットを知っていただき、従業員の皆さまとご家族の生活設計にお役立てください。,,
070,２,団体,,
071,２,割引等,,
072,２,団体総合生活補償保険（MS&AD型）,,
073,２,最大,,
074,２,40.15%,,
075,２,の,,
076,２,割引率を適用！,,
077,２,（病気補償部分・特約は33.5%）,,
078,２,※ケガ補償には年令別保険料型を導入しています。,,
079,２,年令別保険料は毎年見直しが行われますので、団体,,
080,２,割引等に関わらず保険料が変わることがあります。,,
081,２,安心の,,
082,２,加入状況,,
083,２,MS&ADインシュアランスグループ,,
084,２,社員約,,
085,２,1.8万人,,
086,２,が,,
087,２,加入！,,
088,２,退職者の皆さまを含めると約2.5万人も加入,,
089,２,従業員の皆さまとご家族の安心に！,,
090,２,家族も,,
091,２,安心,,
092,２,ご家族も,,
093,２,加入いただけます！,,
094,２,役立つ,,
095,２,保険,,
096,２,保険支払実績,,
097,２,"約8,600件",,
098,２,"約5億3,600万円",,
099,２,（令和4年度実績）,,
