要素ID,前年ページ数,前年テキスト,後年ページ数,後年テキスト,ラベル(変更あり：1),変更タイプ,変更詳細,備考
00001,1,令和5年度,1,令和6年度,1,変更,日付変更,
00002,1,p34,1,p35,1,変更,文言変更,
00003,1,裏表紙,1,背表紙,1,変更,文言変更,
00004,1,令和5年10月25日,1,令和6年10月23日,1,変更,日付変更,
00005,1,令和5年12月10日午後4時,1,令和6年12月10日午後4時,1,変更,日付変更,
00006,1,令和6年12月10日午後4時,1,令和7年12月10日午後4時,1,変更,日付変更,
00007,1,10月3日(火),1,10月1日(火),1,変更,日付変更,
00008,1,10月25日(水),1,10月23日(水),1,変更,日付変更,
00009,1,https://dantai.ms-ins.com/index.php?ID=eyhe84,1,https://dantai.ms-ins.com/index.php?ID=6au5j8,1,変更,文言変更,
00010,1,iOS 11/12/13/14/15/16,1,iOS 11/12/13/14/15/16/17,1,変更,文言変更,
00011,1,Android 5.1/6.0/7.0/8.0/9.0/11.0/12.0/13.0,1,Android 5.1/6.0/7.0/8.0/9.0/10.0/11.0/12.0/13.0,1,変更,文言変更,
00012,,,1,MS1を閲覧できる方、ご自宅のPCまたはスマートフォンでお手続きをされる方につきましては、パンフレットの「加入申込票」を「WEB手続画面」に、「記入」を「入力」に読み替えてください。,1,追加,文言追加,
00013,,,2,グループの,1,追加,文言追加,
00014,,,2,の1つ,1,追加,文言追加,単位難しい
00015,,,2,役員・,1,追加,文言追加,
00016,2,約1.8万人,2,約1.6万人,1,変更,文言変更,
00017,2,約2.5万人,2,約2.4万人,1,変更,文言変更,
00018,2,,2,役員・,1,追加,文言変更,00014と被る
00019,,,2,詳細はP4をご参照ください。,1,追加,文言追加,
00020,2,夫婦補償,,,1,削除,文言削除,
00021,2,家族補償,,,1,削除,文言削除,
00022,,,3,の1つ,1,追加,文言追加,00013と被る
00023,3,令和5年10月25日,3,令和6年10月23日,1,変更,日付変更,
00024,3,令和5年12月10日午後4時,3,令和6年12月10日午後4時,1,変更,日付変更,
00025,3,令和6年12月10日午後4時,3,令和7年12月10日午後4時,1,変更,日付変更,
00026,3,令和6年2月,3,令和7年2月,1,変更,日付変更,
00026,3,NEW!妊娠に伴う身体障害補償特約付(女性向け),,,1,削除,文言削除,
00027,3,以下,３,右記のプラン,,変更,文言変更,
00028,３,"＜ご注意＞夫婦補償プランおよび家族補償プランの補償期間は令和6年12月10日までです。以降ご継続できませんので、個人
補償プランへの移行をご検討ください。",,,,削除,文言削除,
00029,３,"夫婦補償プラン(ケガのみ補償)夫婦のケガに備える　団体割引等
40.15%
※
適用",,,,削除,文言削除,
00030,３,"家族補償プラン(ケガのみ補償)家族のケガに備える　団体割引等
40.15%
※
適用",,,,削除,文言削除,
00031,３,※団体割引30%、損害率による割引5%、大口契約割引10%適用（病気補償部分・特約の割引率は33.5％）,,,,削除,文言削除,
00032,4,"万が一、加入者本人が亡くなられた場合、その時点で加入していた被保険者については、引き続き0B制度として継続加入
することが可能です。加入条件や手続きについては代理店・扱者、もしくは引受保険会社までお問合わせください。",,,,削除,文言削除,
00033,,,4,※所得補償保険は現在ご加入の方のみご継続いただけます。,,追加,,
00034,6,"＊MS１を閲覧できる方、ご自宅の
PCまたはスマートフォンでお手
続きをされる方につきましては、
募集文書の「記入」を「入力」と読
み替えてください。",,,,削除,文言削除,
00035,,,7,"入院時一時金
オプション",,追加,文言追加,
00036,7,夫婦補償プラン(ケガのみ補償),,,,削除,文言削除,
00037,7,家族補償プラン(ケガのみ補償),,,,削除,文言削除,
00038,,,7,入院時一時金オプション・,,追加,文言追加,
00039,7,状況,7,に関する,,変更,文言変更,
00040,,,8,個人補償プランの,,追加,文言追加,
00041,,,8,親介護補償プラン、,,追加,文言追加,
00042,,,8,入院時一時金オプション、,,追加,文言追加,
00043,,,8,GLTD、所得補償保険,,追加,文言追加,
00044,7-8,＜ご注意＞夫婦補償プランおよび家族補償プランの補償期間は令和6年12月10日までです。以降ご継続できませんので、個人補償プランへの移行をご検討ください。,,,,削除,文言削除,
00045,9,"2,400",9,"2,300",,変更,金額変更,
00046,9,"3,240",9,"3,000",,変更,金額変更,
00047,9,"3,300",9,"3,120",,変更,金額変更,
00048,9,"3,105",9,"3,005",,変更,金額変更,
00049,9,"8,300",9,"7,880",,変更,金額変更,
